val_year,train_size,val_size,auc,pr_auc,hit1,hit3,precision,recall,f1,threshold
2011,4,2,0.5,0.5,1,1,0.5,1.0,0.6666666666666666,0.1
2012,6,4,0.5,0.25,1,1,0.25,1.0,0.4,0.1
2013,10,6,0.5,0.16666666666666666,1,1,0.16666666666666666,1.0,0.2857142857142857,0.1
2014,16,6,0.5,0.16666666666666666,1,1,0.16666666666666666,1.0,0.2857142857142857,0.1
2015,22,6,0.5,0.16666666666666666,1,1,0.16666666666666666,1.0,0.2857142857142857,0.1
2016,28,7,0.5,0.14285714285714285,1,1,0.14285714285714285,1.0,0.25,0.1
2017,35,12,0.5,0.08333333333333333,1,1,0.08333333333333333,1.0,0.15384615384615385,0.1
2018,47,11,0.5,0.09090909090909091,1,1,0.09090909090909091,1.0,0.16666666666666666,0.1
2019,58,8,0.5,0.125,1,1,0.125,1.0,0.2222222222222222,0.1
2020,66,6,0.5,0.16666666666666666,1,1,0.16666666666666666,1.0,0.2857142857142857,0.1
2023,85,13,0.5,0.07692307692307693,1,1,0.07692307692307693,1.0,0.14285714285714285,0.1
