mode,rolling_window_years,use_sample_weight,l1_ratio,c_value,min_recall,threshold,top1,top3,auc,pr_auc,precision,recall,f1,n_folds
rolling,5,False,0.5,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.5,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.5,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.1,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.1,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,0.8,0.1,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.1,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.1,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,False,1.0,0.1,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,0.8,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,0.8,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,0.8,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,1.0,0.05,0.6,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,1.0,0.05,0.7,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,1.0,0.05,0.8,0.1,1.0,1.0,0.5,0.17597175551721006,0.17597175551721006,1.0,0.28591963591963593,11
rolling,5,True,1.0,0.1,0.6,0.11363636363636363,0.9090909090909091,1.0,0.5779220779220778,0.2858202403656949,0.2858202403656949,1.0,0.3912587412587413,11
rolling,5,True,1.0,0.1,0.7,0.11363636363636363,0.9090909090909091,1.0,0.5779220779220778,0.2858202403656949,0.2858202403656949,1.0,0.3912587412587413,11
rolling,5,True,1.0,0.1,0.8,0.11363636363636363,0.9090909090909091,1.0,0.5779220779220778,0.2858202403656949,0.2858202403656949,1.0,0.3912587412587413,11
rolling,5,True,0.5,0.05,0.6,0.10454545454545455,0.9090909090909091,1.0,0.577922077922078,0.2858202403656949,0.25172933127478586,1.0,0.3508547008547009,11
rolling,5,True,0.5,0.05,0.7,0.10454545454545455,0.9090909090909091,1.0,0.577922077922078,0.2858202403656949,0.25172933127478586,1.0,0.3508547008547009,11
rolling,5,True,0.5,0.05,0.8,0.10454545454545455,0.9090909090909091,1.0,0.577922077922078,0.2858202403656949,0.25172933127478586,1.0,0.3508547008547009,11
rolling,5,False,0.5,0.1,0.6,0.10454545454545455,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,0.5,0.1,0.7,0.10454545454545455,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,0.5,0.1,0.8,0.10454545454545455,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,True,0.8,0.1,0.6,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,True,0.8,0.1,0.7,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,True,0.8,0.1,0.8,0.10909090909090911,0.8181818181818182,0.9090909090909091,0.577922077922078,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,1.0,0.2,0.6,0.1,0.8181818181818182,0.9090909090909091,0.5779220779220778,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,1.0,0.2,0.7,0.1,0.8181818181818182,0.9090909090909091,0.5779220779220778,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,1.0,0.2,0.8,0.1,0.8181818181818182,0.9090909090909091,0.5779220779220778,0.29270729270729273,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,0.8,0.2,0.6,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6523022432113342,0.39335664335664333,0.2775557775557776,1.0,0.38692973692973703,11
rolling,5,False,0.8,0.2,0.7,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6523022432113342,0.39335664335664333,0.2775557775557776,1.0,0.38692973692973703,11
rolling,5,False,0.8,0.2,0.8,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6523022432113342,0.39335664335664333,0.2775557775557776,1.0,0.38692973692973703,11
rolling,5,False,0.2,0.05,0.6,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6613931523022433,0.3963869463869463,0.27066872521417973,1.0,0.37610722610722613,11
rolling,5,False,0.2,0.05,0.7,0.10909090909090911,0.7272727272727273,0.9090909090909091,0.6613931523022433,0.3963869463869463,0.27066872521417973,1.0,0.37610722610722613,11
